start_lat,start_lon,end_lat,end_lon
52.009536,4.356489,52.008783,4.363314
52.008783,4.363314,52.009422,4.363375
52.009422,4.363375,52.008783,4.363314
52.005106,4.369361,52.007111,4.363719
52.005786,4.3603,52.007111,4.363719
52.007111,4.363719,52.005106,4.369361
52.005106,4.369361,52.005786,4.3603
52.013606,4.364856,52.005106,4.369361
52.007111,4.363719,52.005106,4.369361
52.007111,4.363719,52.005106,4.369361
52.007111,4.363719,52.005786,4.3603
52.013606,4.364856,52.005106,4.369361
52.005106,4.369361,52.005786,4.3603
52.005786,4.3603,52.005106,4.369361
52.005106,4.369361,52.005786,4.3603
52.007111,4.363719,52.005786,4.3603
52.005106,4.369361,52.005786,4.3603
52.005106,4.369361,52.007111,4.363719
52.008797,4.364747,52.005106,4.369361
52.012247,4.356039,52.012131,4.355039
52.012131,4.355039,52.014,4.358578
52.014,4.358578,52.012131,4.355039
52.012131,4.355039,52.012247,4.356039
52.012247,4.356039,52.012131,4.355039
52.012667,4.354872,52.014,4.358578
52.012131,4.355039,52.012247,4.356039
52.012247,4.356039,52.012131,4.355039
52.012131,4.355039,52.011342,4.356503
52.012247,4.356039,52.012131,4.355039
52.012131,4.355039,52.012247,4.356039
52.012247,4.356039,52.012667,4.354872
52.012667,4.354872,52.014,4.358578
52.014,4.358578,52.012131,4.355039
52.012247,4.356039,52.012667,4.354872
52.012667,4.354872,52.012131,4.355039
52.012247,4.356039,52.012131,4.355039
52.012131,4.355039,52.012247,4.356039
52.012247,4.356039,52.011717,4.358447
52.011717,4.358447,52.012247,4.356039
52.012247,4.356039,52.012667,4.354872
52.012247,4.356039,52.012667,4.354872
52.012667,4.354872,52.014,4.358578
52.012247,4.356039,52.012131,4.355039
52.012131,4.355039,52.014,4.358578
52.012247,4.356039,52.012131,4.355039
52.013606,4.364856,52.012578,4.36205
52.012578,4.36205,52.013606,4.364856
52.013606,4.364856,52.012578,4.36205
52.013606,4.364856,52.014,4.358578
52.005786,4.3603,52.007111,4.363719
