timestamp	msgtype	repeat	mmsi	status	turn	speed	accuracy	lon	lat	course	heading	second	maneuver	raim	radio
2017-07-21Z00:04:29.891988	1	0	235080023	0	0	0.0	0	4.2483	51.91725	302.1	3.0	29	0	0	49724	
2017-07-21Z00:04:31.203994	1	0	244660375	15	-128	0.0	0	4.25059	51.914	305.5	51.1	31	0	1	83017	
2017-07-21Z00:04:36.447614	1	0	244660374	15	-128	0.0	0	4.25148	51.91369	296.9	51.1	37	0	1	115732	
2017-07-21Z00:04:55.370829	1	0	244660374	15	-128	0.0	0	4.25148	51.91369	298.5	51.1	56	0	1	115734	
2017-07-21Z00:04:58.811106	1	0	235080023	0	0	0.0	0	4.2483	51.91725	308.4	3.1	58	0	0	2297	
2017-07-21Z00:05:00.614077	1	0	244660375	15	-128	0.1	0	4.25061	51.91399	306.9	51.1	1	0	1	2251	
2017-07-21Z00:05:05.936683	1	0	244660374	15	-128	0.0	0	4.25149	51.91369	298.5	51.1	6	0	1	115734	
2017-07-21Z00:05:10.033401	1	0	235080023	0	0	0.0	0	4.24829	51.91725	300.2	3.1	9	0	0	65909	
2017-07-21Z00:05:15.195067	1	0	244660374	15	-128	0.0	0	4.25149	51.91369	298.1	51.1	15	0	1	50199	
2017-07-21Z00:05:20.274631	1	0	235080023	0	0	0.0	0	4.24829	51.91725	276.7	3.1	19	0	0	66294	
2017-07-21Z00:05:20.684654	1	0	244660375	15	-128	0.0	0	4.25062	51.91399	305.9	51.1	21	0	1	66310	
2017-07-21Z00:05:25.105754	1	0	244660374	15	-128	0.0	0	4.25148	51.9137	298.1	51.1	25	0	1	115735	
2017-07-21Z00:05:29.858180	1	0	235080023	0	0	0.0	0	4.24829	51.91725	289.0	3.1	29	0	0	33885	
2017-07-21Z00:05:29.940513	3	0	244353000	5	0	0.1	1	4.23973	51.9132	170.4	30.0	29	0	0	85482	
2017-07-21Z00:05:31.249097	1	0	244660375	15	-128	0.0	0	4.25061	51.91399	305.8	51.1	31	0	1	66704	
2017-07-21Z00:05:36.491997	1	0	244660374	15	-128	0.0	0	4.25148	51.9137	299.1	51.1	37	0	1	99669	
2017-07-21Z00:05:40.505380	1	0	235080023	0	0	0.0	0	4.24829	51.91725	320.0	3.1	39	0	0	34283	
2017-07-21Z00:05:49.435768	1	0	235080023	0	0	0.0	0	4.24829	51.91725	322.4	3.1	48	0	0	67386	
2017-07-21Z00:05:50.420470	1	0	244660375	15	-128	0.0	0	4.25061	51.91399	308.7	51.1	51	0	1	2255	
2017-07-21Z00:05:55.417031	1	0	244660374	15	-128	0.0	0	4.25148	51.9137	301.1	51.1	56	0	1	100379	
2017-07-21Z00:06:00.085748	1	0	235080023	0	0	0.0	0	4.24828	51.91726	314.5	3.1	59	0	0	82493	
2017-07-21Z00:06:00.496560	1	0	244660375	15	-128	0.0	0	4.25062	51.91399	309.3	51.1	1	0	1	115786	
2017-07-21Z00:06:05.904006	1	0	244660374	15	-128	0.0	0	4.25148	51.91369	301.3	51.1	6	0	1	98523	
2017-07-21Z00:06:09.998875	1	0	235080023	0	0	0.0	0	4.24828	51.91726	289.7	3.1	9	0	0	49723	
2017-07-21Z00:06:11.309148	1	0	244660375	15	-128	0.0	0	4.25063	51.91399	309.2	51.1	12	0	1	16408	
2017-07-21Z00:06:15.159697	1	0	244660374	15	-128	0.0	0	4.25148	51.91369	301.6	51.1	15	0	1	33335	
2017-07-21Z00:06:18.431058	3	0	235115088	5	-128	0.0	1	4.24843	51.91738	210.8	51.1	18	0	1	83882	
2017-07-21Z00:06:20.318968	1	0	235080023	0	0	0.0	0	4.24829	51.91726	314.2	3.1	19	0	0	49723	
2017-07-21Z00:06:25.067779	1	0	244660374	15	-128	0.0	0	4.25148	51.9137	302.1	51.1	25	0	1	99242	
2017-07-21Z00:06:31.216189	1	0	244660375	15	-128	0.0	0	4.25064	51.91399	308.6	51.1	31	0	1	50251	
2017-07-21Z00:06:36.457907	1	0	244660374	15	-128	0.0	0	4.25147	51.9137	300.9	51.1	37	0	1	82966	
2017-07-21Z00:06:40.471808	1	0	235080023	0	0	0.0	0	4.24828	51.91727	299.7	3.1	39	0	0	16408	
2017-07-21Z00:06:49.401259	1	0	235080023	0	0	0.0	0	4.24828	51.91727	315.0	3.1	48	0	0	49723	
2017-07-21Z00:06:50.548062	1	0	244660375	15	-128	0.0	0	4.25063	51.91399	309.7	51.1	51	0	1	83018	
2017-07-21Z00:07:10.043801	1	0	235080023	0	0	0.0	0	4.24828	51.91728	302.5	3.1	9	0	0	33141	
2017-07-21Z00:07:20.285876	1	0	235080023	0	0	0.0	0	4.24828	51.91729	305.7	3.1	19	0	0	33526	
2017-07-21Z00:07:20.696068	1	0	244660375	15	-128	0.0	0	4.25063	51.91399	311.3	51.1	21	0	1	33542	
2017-07-21Z00:07:25.116838	3	0	244660374	15	-128	0.0	0	4.25148	51.91368	303.4	51.1	25	0	1	22851	
2017-07-21Z00:07:29.868774	1	0	235080023	0	0	0.0	0	4.24828	51.91728	299.4	3.1	29	0	0	2228	
2017-07-21Z00:07:31.259971	1	0	244660375	15	-128	0.0	0	4.25061	51.91398	311.3	51.1	31	0	1	33936	
2017-07-21Z00:07:40.435899	1	0	244660375	15	-128	0.0	0	4.25061	51.91398	311.7	51.1	41	0	1	2293	
2017-07-21Z00:07:40.437635	1	0	235080023	0	0	0.0	0	4.24828	51.91728	325.5	3.1	39	0	0	2189	
